Zeitstempel: 18.9.2013 11:35:07
Signalquelle: Analysator
Abtastrate: 20000,00 Hz
Modus: TIME


Bemerkung: Frequenzzaehler 4715.023

Zeit in s	Analysatorsignal in V
0,018100	-0,008850
0,018150	-0,012512
0,018200	-0,008850
0,018250	-0,007019
0,018300	-0,001831
0,018350	-0,007934
0,018400	0,000305
0,018450	0,002136
0,018500	-0,004883
0,018550	-0,002746
0,018600	-0,003052
0,018650	0,004273
0,018700	-0,008850
0,018750	-0,022278
0,018800	-0,028076
0,018850	-0,021362
0,018900	-0,003052
0,018950	-0,007324
0,019000	-0,029602
0,019050	-0,028992
0,019100	-0,024109
0,019150	-0,011597
0,019200	-0,012817
0,019250	-0,014954
0,019300	-0,019531
0,019350	-0,013733
0,019400	-0,020142
0,019450	-0,023804
0,019500	-0,022278
0,019550	-0,027161
0,019600	-0,019226
0,019650	-0,030212
0,019700	-0,036011
0,019750	-0,044556
0,019800	-0,040283
0,019850	-0,039062
0,019900	-0,034180
0,019950	-0,046081
0,020000	-0,050964
0,020050	-0,054321
0,020100	-0,067749
0,020150	-0,091858
0,020200	-0,121765
0,020250	-0,150452
0,020300	-0,164795
0,020350	-0,190430
0,020400	-0,220642
0,020450	-0,258484
0,020500	-0,287170
0,020550	-0,332642
0,020600	-0,358276
0,020650	-0,399170
0,020700	-0,438843
0,020750	-0,479126
0,020800	-0,508118
0,020850	-0,530701
0,020900	-0,543213
0,020950	-0,555115
0,021000	-0,551147
0,021050	-0,531921
0,021100	-0,508728
0,021150	-0,476379
0,021200	-0,420837
0,021250	-0,362549
0,021300	-0,294189
0,021350	-0,225525
0,021400	-0,149231
0,021450	-0,068359
0,021500	0,001526
0,021550	0,044251
0,021600	0,016480
0,021650	-0,004883
0,021700	0,010071
0,021750	0,020752
0,021800	0,007629
0,021850	0,005493
0,021900	0,021362
0,021950	0,020752
0,022000	0,020142
0,022050	0,024719
0,022100	0,029907
0,022150	0,019226
0,022200	0,007629
0,022250	0,017090
0,022300	0,024719
0,022350	0,025635
0,022400	0,025940
0,022450	0,016174
0,022500	0,020447
0,022550	0,033569
0,022600	0,024109
0,022650	0,012817
0,022700	0,031433
0,022750	0,032959
0,022800	0,012817
0,022850	0,019837
0,022900	0,036926
0,022950	0,031433
0,023000	0,020752
0,023050	0,019226
0,023100	0,032044
0,023150	0,028381
0,023200	0,020447
0,023250	0,028076
0,023300	0,024414
0,023350	0,027161
0,023400	0,018311
0,023450	0,017090
0,023500	0,023499
0,023550	0,027161
0,023600	0,020447
0,023650	0,011597
0,023700	0,027466
0,023750	0,025940
0,023800	0,018616
0,023850	0,012817
0,023900	0,021057
0,023950	0,024414
0,024000	0,022278
0,024050	0,012817
0,024100	0,019226
0,024150	0,020447
0,024200	0,021057
0,024250	0,005493
0,024300	0,014343
0,024350	0,020447
0,024400	0,015259
0,024450	0,011292
0,024500	0,017395
0,024550	0,023193
0,024600	0,022583
0,024650	0,008545
0,024700	0,005798
0,024750	0,029907
0,024800	0,023804
0,024850	0,007019
0,024900	0,014649
0,024950	0,024414
0,025000	0,025635
0,025050	0,015259
0,025100	0,003357
0,025150	0,010986
0,025200	0,025635
0,025250	0,021668
0,025300	0,013123
0,025350	0,023193
0,025400	0,027771
0,025450	0,014038
0,025500	0,004883
0,025550	0,018616
0,025600	0,020752
0,025650	0,012817
0,025700	0,024109
0,025750	0,020752
0,025800	0,019837
0,025850	0,020447
0,025900	0,011597
0,025950	0,022888
0,026000	0,028687
0,026050	0,013428
0,026100	0,014343
0,026150	0,020447
0,026200	0,019531
0,026250	0,014038
0,026300	0,018921
0,026350	0,021973
0,026400	0,018005
0,026450	0,016785
0,026500	0,014343
0,026550	0,019226
0,026600	0,018311
0,026650	0,009766
0,026700	0,013428
0,026750	0,031738
0,026800	0,028076
0,026850	0,012817
0,026900	0,009461
0,026950	0,014649
0,027000	0,031128
0,027050	0,021362
0,027100	0,004273
0,027150	0,025635
0,027200	0,018616
0,027250	0,013733
0,027300	0,021057
0,027350	0,023804
0,027400	0,021057
0,027450	0,015259
0,027500	0,018005
0,027550	0,031433
0,027600	0,033875
0,027650	0,026550
0,027700	0,021057
0,027750	0,031128
0,027800	0,019837
0,027850	0,024109
0,027900	0,021668
0,027950	0,020142
0,028000	0,029602
0,028050	0,018616
0,028100	0,025025
0,028150	0,027771
0,028200	0,018311
0,028250	0,027771
0,028300	0,023193
0,028350	0,010071
0,028400	0,029907
0,028450	0,024414
0,028500	-0,006714
0,028550	0,003052
0,028600	0,046082
0,028650	0,017395
0,028700	0,000916
0,028750	0,023193
0,028800	0,019226
0,028850	0,013428
0,028900	0,024109
0,028950	0,019531
0,029000	0,016785
0,029050	0,012817
0,029100	0,013428
0,029150	0,021362
0,029200	0,026856
0,029250	0,014038
0,029300	0,010376
0,029350	0,018311
0,029400	0,021057
0,029450	0,009461
0,029500	0,017090
0,029550	0,022583
0,029600	0,020447
0,029650	0,016785
0,029700	0,018616
0,029750	0,009766
0,029800	0,020447
0,029850	0,019837
0,029900	0,016785
0,029950	0,018921
0,030000	0,020142
0,030050	0,025025
0,030100	0,010071
0,030150	0,022278
0,030200	0,020142
0,030250	0,011597
0,030300	0,006409
0,030350	0,003967
0,030400	0,012512
0,030450	0,018616
0,030500	0,012817
0,030550	0,004578
0,030600	0,016480
0,030650	0,020752
0,030700	0,003357
0,030750	0,004883
0,030800	0,018005
0,030850	0,007324
