Zeitstempel: 18.9.2013 10:46:31
Signalquelle: Analysator
Abtastrate: 20000,00 Hz
Modus: TIME


Bemerkung: Frequenz 1.3kHz
Amplitude 500mV
Offset +-0mV
mit Einstrahlspule

Zeit in s	Analysatorsignal in V
0,012700	-0,134277
0,012750	-0,039978
0,012800	0,057983
0,012850	0,145264
0,012900	0,207214
0,012950	0,234070
0,013000	0,221863
0,013050	0,171509
0,013100	0,091858
0,013150	-0,003967
0,013200	-0,100403
0,013250	-0,181580
0,013300	-0,233154
0,013350	-0,249329
0,013400	-0,223694
0,013450	-0,162964
0,013500	-0,077209
0,013550	0,019837
0,013600	0,115967
0,013650	0,187378
0,013700	0,230713
0,013750	0,232544
0,013800	0,194397
0,013850	0,124817
0,013900	0,033264
0,013950	-0,065002
0,014000	-0,154114
0,014050	-0,217895
0,014100	-0,247803
0,014150	-0,238953
0,014200	-0,190124
0,014250	-0,111389
0,014300	-0,017090
0,014350	0,079651
0,014400	0,162659
0,014450	0,217285
0,014500	0,234375
0,014550	0,212097
0,014600	0,155640
0,014650	0,070801
0,014700	-0,027161
0,014750	-0,121765
0,014800	-0,195618
0,014850	-0,240173
0,014900	-0,247803
0,014950	-0,213318
0,015000	-0,146179
0,015050	-0,055237
0,015100	0,043945
0,015150	0,132752
0,015200	0,198670
0,015250	0,232239
0,015300	0,224915
0,015350	0,180359
0,015400	0,104675
0,015450	0,008850
0,015500	-0,087280
0,015550	-0,171204
0,015600	-0,229187
0,015650	-0,250854
0,015700	-0,231628
0,015750	-0,175171
0,015800	-0,091858
0,015850	0,005188
0,015900	0,099793
0,015950	0,177612
0,016000	0,223999
0,016050	0,234070
0,016100	0,202637
0,016150	0,137024
0,016200	0,047913
0,016250	-0,050354
0,016300	-0,141296
0,016350	-0,209961
0,016400	-0,245972
0,016450	-0,242615
0,016500	-0,200806
0,016550	-0,127258
0,016600	-0,033264
0,016650	0,065613
0,016700	0,150147
0,016750	0,210266
0,016800	0,234375
0,016850	0,218506
0,016900	0,166016
0,016950	0,084534
0,017000	-0,012512
0,017050	-0,108032
0,017100	-0,188293
0,017150	-0,236511
0,017200	-0,248718
0,017250	-0,221252
0,017300	-0,158081
0,017350	-0,071411
0,017400	0,027161
0,017450	0,118408
0,017500	0,190430
0,017550	0,229187
0,017600	0,227966
0,017650	0,189514
0,017700	0,117493
0,017750	0,024719
0,017800	-0,072632
0,017850	-0,159607
0,017900	-0,221558
0,017950	-0,249023
0,018000	-0,236511
0,018050	-0,184936
0,018100	-0,106506
0,018150	-0,011902
0,018200	0,087280
0,018250	0,167236
0,018300	0,220337
0,018350	0,234375
0,018400	0,208740
0,018450	0,149841
0,018500	0,063782
0,018550	-0,033874
0,018600	-0,126953
0,018650	-0,199890
0,018700	-0,242920
0,018750	-0,245056
0,018800	-0,207825
0,018850	-0,137939
0,018900	-0,047607
0,018950	0,051880
0,019000	0,139771
0,019050	0,205689
0,019100	0,232849
0,019150	0,223999
0,019200	0,176392
0,019250	0,099487
0,019300	0,003052
0,019350	-0,092163
0,019400	-0,175781
0,019450	-0,229797
0,019500	-0,245666
0,019550	-0,227051
0,019600	-0,167847
0,019650	-0,083618
0,019700	0,012817
0,019750	0,107727
0,019800	0,182800
0,019850	0,227966
0,019900	0,232239
0,019950	0,198364
0,020000	0,130920
0,020050	0,041504
0,020100	-0,057373
0,020150	-0,147095
0,020200	-0,213623
0,020250	-0,246887
0,020300	-0,240173
0,020350	-0,195312
0,020400	-0,119018
0,020450	-0,023498
0,020500	0,072327
0,020550	0,157776
0,020600	0,213623
0,020650	0,234070
0,020700	0,216980
0,020750	0,162048
0,020800	0,079651
0,020850	-0,020142
0,020900	-0,113220
0,020950	-0,191345
0,021000	-0,238037
0,021050	-0,247192
0,021100	-0,216064
0,021150	-0,151062
0,021200	-0,061645
0,021250	0,035706
0,021300	0,126648
0,021350	0,195313
0,021400	0,231934
0,021450	0,229492
0,021500	0,185547
0,021550	0,112915
0,021600	0,018921
0,021650	-0,078735
0,021700	-0,162659
0,021750	-0,224304
0,021800	-0,249023
0,021850	-0,231934
0,021900	-0,180664
0,021950	-0,098572
0,022000	-0,001526
0,022050	0,093994
0,022100	0,173950
0,022150	0,221253
0,022200	0,235291
0,022250	0,206299
0,022300	0,144043
0,022350	0,055542
0,022400	-0,041809
0,022450	-0,133972
0,022500	-0,205383
0,022550	-0,243225
0,022600	-0,243530
0,022650	-0,204163
0,022700	-0,132141
0,022750	-0,039368
0,022800	0,057373
0,022850	0,143738
0,022900	0,206909
0,022950	0,234070
0,023000	0,219727
0,023050	0,171509
0,023100	0,090637
0,023150	-0,003967
0,023200	-0,101013
0,023250	-0,182495
0,023300	-0,233459
0,023350	-0,248718
0,023400	-0,222778
0,023450	-0,162659
0,023500	-0,076294
0,023550	0,019226
0,023600	0,112915
0,023650	0,186462
0,023700	0,228272
0,023750	0,230408
0,023800	0,193482
0,023850	0,125733
0,023900	0,034485
0,023950	-0,064697
0,024000	-0,152588
0,024050	-0,218506
0,024100	-0,247497
0,024150	-0,238037
0,024200	-0,189819
0,024250	-0,112610
0,024300	-0,016785
0,024350	0,079346
0,024400	0,162048
0,024450	0,216980
0,024500	0,235596
0,024550	0,213623
0,024600	0,155029
0,024650	0,070496
0,024700	-0,026550
0,024750	-0,121765
0,024800	-0,195923
0,024850	-0,241089
0,024900	-0,247192
0,024950	-0,213623
0,025000	-0,145569
0,025050	-0,055237
0,025100	0,044556
0,025150	0,133667
0,025200	0,199890
0,025250	0,235291
0,025300	0,228577
0,025350	0,181885
0,025400	0,105896
0,025450	0,011902
0,025500	-0,085144
0,025550	-0,171204
0,025600	-0,227051
0,025650	-0,247192
0,025700	-0,228882
0,025750	-0,173645
0,025800	-0,090332
0,025850	0,006409
0,025900	0,101013
0,025950	0,178223
0,026000	0,224915
0,026050	0,233765
0,026100	0,204163
0,026150	0,137634
0,026200	0,050354
0,026250	-0,048828
0,026300	-0,140381
0,026350	-0,209045
0,026400	-0,245056
0,026450	-0,241394
0,026500	-0,198059
0,026550	-0,124817
0,026600	-0,032349
0,026650	0,065308
0,026700	0,151367
0,026750	0,210877
0,026800	0,235291
0,026850	0,217896
0,026900	0,165711
0,026950	0,085449
0,027000	-0,010376
0,027050	-0,107727
0,027100	-0,185852
0,027150	-0,235901
0,027200	-0,247803
0,027250	-0,220337
0,027300	-0,156555
0,027350	-0,067749
0,027400	0,028687
0,027450	0,119934
0,027500	0,193176
0,027550	0,230408
0,027600	0,231018
0,027650	0,191040
0,027700	0,119324
0,027750	0,027771
0,027800	-0,070801
0,027850	-0,159302
0,027900	-0,221252
0,027950	-0,247803
0,028000	-0,236511
0,028050	-0,184631
0,028100	-0,105286
0,028150	-0,008850
0,028200	0,086670
0,028250	0,168457
0,028300	0,220032
0,028350	0,233765
0,028400	0,209656
0,028450	0,150147
0,028500	0,061951
0,028550	-0,034790
0,028600	-0,126953
0,028650	-0,201111
0,028700	-0,242309
0,028750	-0,243835
0,028800	-0,209656
0,028850	-0,139160
0,028900	-0,047607
0,028950	0,050354
0,029000	0,137634
0,029050	0,203247
0,029100	0,233154
0,029150	0,223084
0,029200	0,177002
0,029250	0,098877
0,029300	0,003052
0,029350	-0,092773
0,029400	-0,176392
0,029450	-0,231018
0,029500	-0,248718
0,029550	-0,226440
0,029600	-0,169067
0,029650	-0,084228
0,029700	0,012817
0,029750	0,107422
0,029800	0,182190
0,029850	0,225220
0,029900	0,232239
0,029950	0,199280
0,030000	0,130920
0,030050	0,041809
0,030100	-0,055542
0,030150	-0,146789
0,030200	-0,213623
0,030250	-0,246887
0,030300	-0,240478
0,030350	-0,194702
0,030400	-0,119324
0,030450	-0,025635
0,030500	0,072327
0,030550	0,156250
0,030600	0,213928
0,030650	0,233765
0,030700	0,216675
0,030750	0,160217
0,030800	0,076599
0,030850	-0,020447
0,030900	-0,114441
0,030950	-0,192261
0,031000	-0,239563
0,031050	-0,248108
0,031100	-0,216675
0,031150	-0,151367
0,031200	-0,063476
0,031250	0,035400
0,031300	0,125733
0,031350	0,195313
0,031400	0,230408
0,031450	0,227356
0,031500	0,187073
0,031550	0,111694
0,031600	0,018005
0,031650	-0,079346
0,031700	-0,165405
0,031750	-0,224914
0,031800	-0,249329
0,031850	-0,231934
0,031900	-0,180054
0,031950	-0,098267
0,032000	-0,003357
0,032050	0,092774
0,032100	0,171509
0,032150	0,221558
0,032200	0,233460
0,032250	0,206299
0,032300	0,143433
0,032350	0,056152
0,032400	-0,040893
0,032450	-0,135193
0,032500	-0,205383
0,032550	-0,243530
0,032600	-0,244446
0,032650	-0,204163
0,032700	-0,132141
0,032750	-0,039978
0,032800	0,058289
0,032850	0,146179
0,032900	0,206604
0,032950	0,234680
0,033000	0,220947
0,033050	0,172119
0,033100	0,094299
0,033150	-0,004578
0,033200	-0,100098
0,033250	-0,181580
0,033300	-0,232849
0,033350	-0,248108
0,033400	-0,223694
0,033450	-0,163574
0,033500	-0,078735
0,033550	0,020142
0,033600	0,114136
0,033650	0,185852
0,033700	0,227966
0,033750	0,231018
0,033800	0,194702
0,033850	0,125427
0,033900	0,034790
0,033950	-0,064087
0,034000	-0,151977
0,034050	-0,216064
0,034100	-0,247497
0,034150	-0,237427
0,034200	-0,191345
0,034250	-0,112305
0,034300	-0,017700
0,034350	0,079041
0,034400	0,161743
0,034450	0,217285
0,034500	0,234375
0,034550	0,212402
0,034600	0,154724
0,034650	0,070496
0,034700	-0,027161
0,034750	-0,120544
0,034800	-0,196838
0,034850	-0,241089
0,034900	-0,246582
0,034950	-0,213013
0,035000	-0,145264
0,035050	-0,054932
0,035100	0,042420
0,035150	0,132141
0,035200	0,201111
0,035250	0,231018
0,035300	0,226746
0,035350	0,181275
0,035400	0,105591
0,035450	0,010376
0,035500	-0,086670
0,035550	-0,170593
0,035600	-0,229187
0,035650	-0,250854
0,035700	-0,230713
0,035750	-0,175171
0,035800	-0,092163
0,035850	0,004883
0,035900	0,098877
0,035950	0,176697
0,036000	0,223389
0,036050	0,233765
0,036100	0,201416
0,036150	0,136108
0,036200	0,048523
0,036250	-0,049744
0,036300	-0,140686
0,036350	-0,210571
0,036400	-0,246582
0,036450	-0,243225
0,036500	-0,200500
0,036550	-0,128784
0,036600	-0,031738
0,036650	0,064087
0,036700	0,149536
0,036750	0,209656
0,036800	0,234070
0,036850	0,218201
0,036900	0,166016
0,036950	0,085449
0,037000	-0,010986
0,037050	-0,107117
0,037100	-0,186767
0,037150	-0,236816
0,037200	-0,248108
0,037250	-0,220642
0,037300	-0,158996
0,037350	-0,070496
0,037400	0,027466
0,037450	0,118713
0,037500	0,190735
0,037550	0,229187
0,037600	0,227661
0,037650	0,189514
0,037700	0,118103
0,037750	0,024719
0,037800	-0,071716
0,037850	-0,160217
0,037900	-0,221558
0,037950	-0,249634
0,038000	-0,236511
0,038050	-0,185852
0,038100	-0,105591
0,038150	-0,010681
0,038200	0,086365
0,038250	0,167542
0,038300	0,219116
0,038350	0,233154
0,038400	0,209656
0,038450	0,149841
0,038500	0,063171
0,038550	-0,035095
0,038600	-0,127258
0,038650	-0,202331
0,038700	-0,242920
0,038750	-0,244141
0,038800	-0,208130
0,038850	-0,137329
0,038900	-0,048218
0,038950	0,050659
0,039000	0,139465
0,039050	0,203858
0,039100	0,234680
0,039150	0,224915
0,039200	0,177002
0,039250	0,099793
0,039300	0,004883
0,039350	-0,092773
0,039400	-0,175476
0,039450	-0,231934
0,039500	-0,248413
0,039550	-0,226746
0,039600	-0,169372
0,039650	-0,084534
0,039700	0,014038
0,039750	0,106812
0,039800	0,183716
0,039850	0,226746
0,039900	0,231323
0,039950	0,198670
0,040000	0,131836
0,040050	0,041809
0,040100	-0,057678
0,040150	-0,147095
0,040200	-0,213928
0,040250	-0,246277
0,040300	-0,239868
0,040350	-0,195618
0,040400	-0,119018
0,040450	-0,023193
0,040500	0,072937
0,040550	0,155640
0,040600	0,214233
0,040650	0,235596
0,040700	0,216980
0,040750	0,161133
0,040800	0,079346
0,040850	-0,017395
0,040900	-0,113830
0,040950	-0,189514
0,041000	-0,236816
0,041050	-0,247803
0,041100	-0,215759
0,041150	-0,150757
0,041200	-0,062561
0,041250	0,035706
0,041300	0,127564
0,041350	0,196228
0,041400	0,233154
0,041450	0,228272
0,041500	0,187378
0,041550	0,113525
0,041600	0,019531
0,041650	-0,078735
0,041700	-0,163269
0,041750	-0,223694
0,041800	-0,247192
0,041850	-0,232239
0,041900	-0,179748
0,041950	-0,099487
0,042000	-0,001831
0,042050	0,093384
0,042100	0,170899
0,042150	0,222168
0,042200	0,234070
0,042250	0,206909
0,042300	0,142822
0,042350	0,055237
0,042400	-0,042114
0,042450	-0,133972
0,042500	-0,204773
0,042550	-0,243835
0,042600	-0,244751
0,042650	-0,205078
0,042700	-0,133362
0,042750	-0,040283
0,042800	0,057983
0,042850	0,144043
0,042900	0,207520
0,042950	0,234375
0,043000	0,222778
0,043050	0,170593
0,043100	0,092468
0,043150	-0,001831
0,043200	-0,099487
0,043250	-0,181580
0,043300	-0,233459
0,043350	-0,247803
0,043400	-0,223694
0,043450	-0,163574
0,043500	-0,077209
0,043550	0,020752
0,043600	0,113220
0,043650	0,186768
0,043700	0,227966
0,043750	0,230408
0,043800	0,194397
0,043850	0,126343
0,043900	0,034180
0,043950	-0,065002
0,044000	-0,152283
0,044050	-0,217285
0,044100	-0,248108
0,044150	-0,237427
0,044200	-0,191040
0,044250	-0,113220
0,044300	-0,018005
0,044350	0,080566
0,044400	0,161743
0,044450	0,216065
0,044500	0,234070
0,044550	0,212708
0,044600	0,155335
0,044650	0,070191
0,044700	-0,027161
0,044750	-0,120239
0,044800	-0,195618
0,044850	-0,241089
0,044900	-0,245666
0,044950	-0,212402
0,045000	-0,145569
0,045050	-0,055542
0,045100	0,042420
0,045150	0,131836
0,045200	0,201111
0,045250	0,232544
0,045300	0,226135
0,045350	0,182495
0,045400	0,106812
0,045450	0,012817
0,045500	-0,085754
0,045550	-0,169372
0,045600	-0,226746
0,045650	-0,248108
0,045700	-0,229492
0,045750	-0,173645
0,045800	-0,090637
0,045850	0,006714
0,045900	0,100708
0,045950	0,178833
0,046000	0,224609
0,046050	0,233765
0,046100	0,202637
0,046150	0,138550
0,046200	0,049133
0,046250	-0,048828
0,046300	-0,139160
0,046350	-0,208130
0,046400	-0,245972
0,046450	-0,242004
0,046500	-0,199280
0,046550	-0,126038
0,046600	-0,032043
0,046650	0,064697
0,046700	0,150147
0,046750	0,211792
0,046800	0,234680
0,046850	0,220032
0,046900	0,167542
0,046950	0,086670
0,047000	-0,010681
0,047050	-0,107117
0,047100	-0,184936
0,047150	-0,235901
0,047200	-0,246887
0,047250	-0,220642
0,047300	-0,155945
0,047350	-0,070190
0,047400	0,028076
0,047450	0,120545
0,047500	0,191956
0,047550	0,231018
0,047600	0,231323
0,047650	0,191345
0,047700	0,119934
0,047750	0,026245
0,047800	-0,070190
0,047850	-0,158081
0,047900	-0,220032
0,047950	-0,247497
0,048000	-0,235290
0,048050	-0,185242
0,048100	-0,104675
0,048150	-0,010986
0,048200	0,086365
0,048250	0,167847
0,048300	0,220032
0,048350	0,235291
0,048400	0,209656
0,048450	0,149536
0,048500	0,064087
0,048550	-0,034790
0,048600	-0,127869
0,048650	-0,202331
0,048700	-0,243225
0,048750	-0,245666
0,048800	-0,208435
0,048850	-0,140076
0,048900	-0,047913
0,048950	0,050049
0,049000	0,138245
0,049050	0,203858
0,049100	0,233154
0,049150	0,223389
0,049200	0,176392
0,049250	0,098267
0,049300	0,003662
0,049350	-0,092773
0,049400	-0,176697
0,049450	-0,231934
0,049500	-0,248718
0,049550	-0,227966
0,049600	-0,169067
0,049650	-0,085449
0,049700	0,012512
0,049750	0,105896
0,049800	0,182495
0,049850	0,226135
0,049900	0,232849
0,049950	0,198670
0,050000	0,131531
0,050050	0,041809
0,050100	-0,056152
0,050150	-0,147095
0,050200	-0,213623
0,050250	-0,245666
0,050300	-0,241089
0,050350	-0,195618
0,050400	-0,119629
0,050450	-0,024719
0,050500	0,071106
0,050550	0,155945
0,050600	0,213623
0,050650	0,234375
0,050700	0,216065
0,050750	0,160523
0,050800	0,078125
0,050850	-0,018616
0,050900	-0,114136
0,050950	-0,191650
0,051000	-0,239563
0,051050	-0,248413
0,051100	-0,216980
0,051150	-0,152893
0,051200	-0,064087
0,051250	0,035400
0,051300	0,125122
0,051350	0,191956
0,051400	0,230408
0,051450	0,226441
0,051500	0,185242
0,051550	0,111389
0,051600	0,015869
0,051650	-0,079956
0,051700	-0,165100
0,051750	-0,226440
0,051800	-0,249939
0,051850	-0,234375
0,051900	-0,180664
0,051950	-0,101318
0,052000	-0,004578
0,052050	0,091858
0,052100	0,169678
0,052150	0,218506
0,052200	0,233154
0,052250	0,204468
0,052300	0,142822
0,052350	0,056152
0,052400	-0,043640
0,052450	-0,134277
0,052500	-0,208435
0,052550	-0,245361
0,052600	-0,245972
0,052650	-0,204163
0,052700	-0,135193
0,052750	-0,041809
0,052800	0,055847
0,052850	0,144043
0,052900	0,206299
0,052950	0,233460
0,053000	0,221863
0,053050	0,170593
0,053100	0,093079
0,053150	-0,004883
0,053200	-0,099792
0,053250	-0,183105
0,053300	-0,234680
0,053350	-0,249329
0,053400	-0,225525
0,053450	-0,166016
0,053500	-0,079346
0,053550	0,019226
0,053600	0,114136
0,053650	0,184937
0,053700	0,227051
0,053750	0,230713
0,053800	0,194092
0,053850	0,126038
0,053900	0,032349
0,053950	-0,065308
0,054000	-0,153809
0,054050	-0,219116
0,054100	-0,247803
0,054150	-0,238342
0,054200	-0,191650
0,054250	-0,113830
0,054300	-0,021057
0,054350	0,077210
0,054400	0,161438
0,054450	0,215454
0,054500	0,234070
0,054550	0,213928
0,054600	0,155335
0,054650	0,070801
0,054700	-0,026245
0,054750	-0,121155
0,054800	-0,194702
0,054850	-0,240784
0,054900	-0,247192
0,054950	-0,214538
0,055000	-0,147095
0,055050	-0,057068
0,055100	0,041504
0,055150	0,131836
0,055200	0,198975
0,055250	0,231323
0,055300	0,224609
0,055350	0,179749
0,055400	0,102844
0,055450	0,010376
0,055500	-0,088196
0,055550	-0,171814
0,055600	-0,228577
0,055650	-0,249329
0,055700	-0,232544
0,055750	-0,176392
0,055800	-0,094299
0,055850	0,002747
0,055900	0,098267
0,055950	0,174561
0,056000	0,221253
0,056050	0,231018
0,056100	0,200501
0,056150	0,135498
0,056200	0,047913
0,056250	-0,050964
0,056300	-0,140686
0,056350	-0,210876
0,056400	-0,248413
0,056450	-0,244446
0,056500	-0,201111
0,056550	-0,128174
0,056600	-0,034485
0,056650	0,061646
0,056700	0,148926
0,056750	0,209656
0,056800	0,233460
0,056850	0,217896
0,056900	0,165405
0,056950	0,083618
0,057000	-0,012512
0,057050	-0,107117
0,057100	-0,187073
0,057150	-0,236511
0,057200	-0,249634
0,057250	-0,221863
0,057300	-0,159607
0,057350	-0,072021
0,057400	0,024414
0,057450	0,118408
0,057500	0,190125
0,057550	0,227661
0,057600	0,228577
0,057650	0,188294
0,057700	0,118103
0,057750	0,025330
0,057800	-0,074463
0,057850	-0,162353
0,057900	-0,222473
0,057950	-0,249023
0,058000	-0,237732
0,058050	-0,186462
0,058100	-0,107422
0,058150	-0,012207
0,058200	0,084229
0,058250	0,166626
0,058300	0,218201
0,058350	0,233460
0,058400	0,209351
0,058450	0,148316
0,058500	0,062866
0,058550	-0,034485
0,058600	-0,126953
0,058650	-0,199890
0,058700	-0,243530
0,058750	-0,245361
0,058800	-0,210571
0,058850	-0,139770
0,058900	-0,047913
0,058950	0,050354
0,059000	0,138245
0,059050	0,202332
0,059100	0,232239
0,059150	0,223084
