Zeitstempel: 18.9.2013 14:10:59
Signalquelle: Sample/Hold Verstärker
Modus: AM


Bemerkung: Durchlaufzeit 200s
FM
Frequenz 1500Hz
Richtung min->max
min Amplitude 0.01V
max Amplitude 0.40V

Amplitude in V	S/H-Signal in V
0,027002	-0,066528
0,027063	-0,076599
0,027123	-0,076294
0,027184	-0,057678
0,027245	-0,039673
0,027306	-0,037842
0,027367	-0,070496
0,027428	-0,070190
0,027489	-0,060425
0,027550	-0,072632
0,027611	-0,018921
0,027672	-0,028992
0,027733	-0,028992
0,027794	-0,050049
0,027855	-0,051575
0,027916	-0,035705
0,027977	-0,034180
0,028038	-0,009766
0,028098	-0,019531
0,028159	0,000610
0,028220	-0,034485
0,028281	-0,032043
0,028342	0,014343
0,028403	-0,007324
0,028464	-0,010681
0,028525	-0,010376
0,028586	-0,009766
0,028647	-0,007019
0,028708	0,039673
0,028769	0,045776
0,028830	0,043945
0,028891	0,008240
0,028952	0,044861
0,029012	0,043335
0,029073	0,045166
0,029134	0,027466
0,029195	0,032654
0,029256	0,038147
0,029317	0,040588
0,029378	0,039978
0,029439	0,026856
0,029500	0,041809
0,029561	0,022583
0,029622	0,023193
0,029683	0,016174
0,029744	0,062561
0,029805	0,036011
0,029866	0,008850
0,029927	0,006409
0,029988	0,044556
0,030048	0,075073
0,030109	0,056458
0,030170	0,058899
0,030231	0,044251
0,030292	0,081482
0,030353	0,090027
0,030414	0,065918
0,030475	0,068970
0,030536	0,052185
0,030597	0,050659
0,030658	0,046997
0,030719	0,058594
0,030780	0,057068
0,030841	0,069580
0,030902	0,030518
0,030963	0,074463
0,031023	0,074768
0,031084	0,050049
0,031145	0,093079
0,031206	0,089111
0,031267	0,043945
0,031328	0,043945
0,031389	0,101013
0,031450	0,058899
0,031511	0,074158
0,031572	0,073547
0,031633	0,107727
0,031694	0,123596
0,031755	0,092468
0,031816	0,081482
0,031877	0,080872
0,031938	0,090332
0,031998	0,066223
0,032059	0,110169
0,032120	0,110169
0,032181	0,086365
0,032242	0,105896
0,032303	0,083008
0,032364	0,135193
0,032425	0,135193
0,032486	0,114441
0,032547	0,134888
0,032608	0,119324
0,032669	0,121460
0,032730	0,126343
0,032791	0,123596
0,032852	0,136108
0,032912	0,115357
0,032973	0,115967
0,033034	0,132141
0,033095	0,117188
0,033156	0,127564
0,033217	0,167236
0,033278	0,164490
0,033339	0,164490
0,033400	0,150147
0,033461	0,142517
0,033522	0,142822
0,033583	0,147705
0,033644	0,140381
0,033705	0,155640
0,033766	0,142822
0,033827	0,144348
0,033888	0,154419
0,033948	0,169373
0,034009	0,193176
0,034070	0,195007
0,034131	0,161438
0,034192	0,169067
0,034253	0,180359
0,034314	0,162354
0,034375	0,164795
0,034436	0,192261
0,034497	0,203247
0,034558	0,183106
0,034619	0,184631
0,034680	0,208740
0,034741	0,200501
0,034802	0,170899
0,034863	0,138855
0,034923	0,141907
0,034984	0,206604
