Zeitstempel: 18.9.2013 14:20:42
Signalquelle: Sample/Hold Verstärker
Modus: AM


Bemerkung: Durchlaufzeit 100s
FM
Frequenz 1490Hz
Richtung min->max
min Amplitude 0.01V
max Amplitude 0.40V

Amplitude in V	S/H-Signal in V
0.026941	-0.043945
0.027002	-0.020447
0.027063	-0.022278
0.027123	-0.021667
0.027184	-0.021057
0.027245	-0.024414
0.027306	-0.027466
0.027367	-0.017090
0.027428	-0.015564
0.027489	-0.009460
0.027550	-0.022278
0.027611	-0.002441
0.027672	0.019837
0.027733	0.018921
0.027794	0.016785
0.027855	-0.001831
0.027916	-0.020142
0.027977	-0.019836
0.028038	-0.004883
0.028098	0.002136
0.028159	0.000916
0.028220	-0.009155
0.028281	-0.007019
0.028342	0.002441
0.028403	0.041809
0.028464	0.025330
0.028525	0.037842
0.028586	0.053101
0.028647	0.045776
0.028708	0.010376
0.028769	0.003662
0.028830	0.005798
0.028891	0.029602
0.028952	0.031738
0.029012	0.059204
0.029073	0.029602
0.029134	0.030823
0.029195	0.035706
0.029256	0.023499
0.029317	0.046692
0.029378	0.044251
0.029439	0.043640
0.029500	0.079956
0.029561	0.063782
0.029622	0.032349
0.029683	0.033875
0.029744	0.052490
0.029805	0.090332
0.029866	0.054932
0.029927	0.057068
0.029988	0.049744
0.030048	0.076904
0.030109	0.047913
0.030170	0.108643
0.030231	0.109253
0.030292	0.071411
0.030353	0.090027
0.030414	0.058899
0.030475	0.062256
0.030536	0.061951
0.030597	0.078125
0.030658	0.084839
0.030719	0.104981
0.030780	0.106812
0.030841	0.087891
0.030902	0.061646
0.030963	0.066834
0.031023	0.067444
0.031084	0.083313
0.031145	0.091248
0.031206	0.069885
0.031267	0.070801
0.031328	0.072327
0.031389	0.071411
0.031450	0.113525
0.031511	0.120850
0.031572	0.095520
0.031633	0.105591
0.031694	0.127869
0.031755	0.121460
0.031816	0.129395
0.031877	0.129395
0.031938	0.136719
0.031998	0.169678
0.032059	0.131836
0.032120	0.143433
0.032181	0.144043
0.032242	0.152283
0.032303	0.144653
0.032364	0.145874
0.032425	0.146484
0.032486	0.161133
0.032547	0.184326
0.032608	0.158386
0.032669	0.162048
0.032730	0.160523
0.032791	0.171814
0.032852	0.166931
0.032912	0.182800
0.032973	0.182800
0.033034	0.203247
0.033095	0.178223
0.033156	0.187683
0.033217	0.202637
0.033278	0.203247
0.033339	0.204468
0.033400	0.194092
0.033461	0.198975
0.033522	0.178528
0.033583	0.194397
0.033644	0.199890
0.033705	0.219116
0.033766	0.199585
0.033827	0.201111
0.033888	0.181580
0.033948	0.202026
0.034009	0.221253
0.034070	0.217590
0.034131	0.215454
0.034192	0.209656
0.034253	0.202942
0.034314	0.200501
0.034375	0.202026
0.034436	0.215149
0.034497	0.235291
0.034558	0.239563
0.034619	0.216675
0.034680	0.217590
0.034741	0.231629
0.034802	0.237732
0.034863	0.227966
0.034923	0.236206
0.034984	0.235291
0.035045	0.201721
0.035106	0.239868
0.035167	0.250244
0.035228	0.250549
0.035289	0.205994
0.035350	0.251770
0.035411	0.225525
0.035472	0.262451
0.035533	0.263977
0.035594	0.255432
0.035655	0.230103
0.035716	0.235596
0.035777	0.239868
0.035838	0.248718
0.035898	0.231934
0.035959	0.246887
0.036020	0.256653
0.036081	0.255127
0.036142	0.256348
0.036203	0.258484
0.036264	0.243225
0.036325	0.243530
0.036386	0.268860
0.036447	0.263672
0.036508	0.268860
0.036569	0.262756
0.036630	0.263977
0.036691	0.260010
0.036752	0.252686
0.036812	0.264282
0.036873	0.264282
0.036934	0.278320
0.036995	0.299683
0.037056	0.259094
0.037117	0.287171
0.037178	0.289002
0.037239	0.277405
0.037300	0.294800
0.037361	0.301209
0.037422	0.304566
0.037483	0.313721
0.037544	0.301209
0.037605	0.294495
0.037666	0.291748
0.037727	0.290833
0.037788	0.307312
0.037848	0.299378
0.037909	0.290222
0.037970	0.322266
0.038031	0.319824
0.038092	0.268250
0.038153	0.312500
0.038214	0.299378
0.038275	0.300293
0.038336	0.303955
0.038397	0.294800
0.038458	0.317078
0.038519	0.306397
0.038580	0.305786
0.038641	0.320740
0.038702	0.313721
0.038763	0.319824
0.038823	0.320129
0.038884	0.307922
0.038945	0.305481
0.039006	0.294190
0.039067	0.319824
0.039128	0.321655
0.039189	0.316773
0.039250	0.307007
0.039311	0.318909
0.039372	0.311279
0.039433	0.313416
0.039494	0.317688
0.039555	0.334168
0.039616	0.315857
0.039677	0.316467
0.039738	0.321045
0.039798	0.331116
0.039859	0.307007
0.039920	0.328369
0.039981	0.330811
0.040042	0.321350
0.040103	0.352173
0.040164	0.319824
0.040225	0.321961
0.040286	0.335388
0.040347	0.330200
0.040408	0.344849
0.040469	0.326233
0.040530	0.323792
0.040591	0.292358
0.040652	0.329590
0.040712	0.339050
0.040773	0.296021
0.040834	0.325012
0.040895	0.339661
0.040956	0.327454
0.041017	0.321961
0.041078	0.322876
0.041139	0.333557
0.041200	0.317993
0.041261	0.342407
0.041322	0.311585
0.041383	0.310364
0.041444	0.346069
0.041505	0.320435
0.041566	0.341187
0.041627	0.341187
0.041687	0.354614
0.041748	0.329590
0.041809	0.352173
0.041870	0.341492
0.041931	0.342102
0.041992	0.361328
0.042053	0.336914
0.042114	0.335693
0.042175	0.336914
0.042236	0.356445
0.042297	0.369568
0.042358	0.353699
0.042419	0.327759
0.042480	0.328064
0.042541	0.328674
0.042602	0.353394
0.042663	0.329590
0.042723	0.331116
0.042784	0.372315
0.042845	0.348206
0.042906	0.364380
0.042967	0.329895
0.043028	0.331726
0.043089	0.372009
0.043150	0.366821
0.043211	0.347595
0.043272	0.320129
0.043333	0.318604
0.043394	0.333862
0.043455	0.375671
0.043516	0.344238
0.043577	0.343323
0.043638	0.340576
0.043698	0.332031
0.043759	0.350037
0.043820	0.369873
