Zeitstempel: 18.9.2013 14:14:57
Signalquelle: Sample/Hold Verstärker
Modus: AM


Bemerkung: Durchlaufzeit 100s
FM
Frequenz 1500Hz
Richtung min<-max
min Amplitude 0.01V
max Amplitude 0.40V

Amplitude in V	S/H-Signal in V
0.382206	0.016785
0.382145	0.016785
0.382084	0.013428
0.382023	0.012512
0.381963	0.000610
0.381902	-0.004883
0.381841	0.025330
0.381780	-0.016174
0.381719	-0.016174
0.381658	-0.016785
0.381597	-0.009460
0.381536	0.007324
0.381475	0.007324
0.381414	0.051880
0.381353	0.002441
0.381292	0.028076
0.381231	0.025025
0.381170	0.023499
0.381109	0.023193
0.381048	-0.010071
0.380988	0.018311
0.380927	-0.049133
0.380866	-0.039368
0.380805	0.002441
0.380744	-0.015259
0.380683	0.024109
0.380622	0.025635
0.380561	-0.003662
0.380500	0.007324
0.380439	-0.003967
0.380378	-0.014954
0.380317	-0.012512
0.380256	-0.002136
0.380195	0.038147
0.380134	0.010071
0.380073	0.008850
0.380012	-0.004272
0.379952	0.008240
0.379891	0.009155
0.379830	-0.001221
0.379769	-0.002441
0.379708	-0.023498
0.379647	0.015869
0.379586	0.020447
0.379525	0.023804
0.379464	-0.013122
0.379403	-0.004883
0.379342	-0.002441
0.379281	-0.010681
0.379220	-0.011597
0.379159	0.003662
0.379098	0.001831
0.379038	-0.007934
0.378977	-0.013122
0.378916	-0.003052
0.378855	-0.006714
0.378794	0.011597
0.378733	-0.016174
0.378672	-0.014038
0.378611	-0.020142
0.378550	-0.011902
0.378489	-0.023498
0.378428	0.024414
0.378367	0.026550
0.378306	-0.017090
0.378245	-0.014648
0.378184	0.007629
0.378123	0.005798
0.378063	-0.003052
0.378002	-0.022278
0.377941	-0.030517
0.377880	-0.007324
0.377819	-0.007629
0.377758	-0.035095
0.377697	-0.030517
0.377636	-0.052490
0.377575	-0.052185
0.377514	-0.012512
0.377453	-0.042114
0.377392	-0.013428
0.377331	-0.062561
0.377270	-0.062866
0.377209	0.006409
0.377148	-0.034485
0.377087	-0.028381
0.377027	-0.045471
0.376966	-0.043030
0.376905	-0.021362
0.376844	-0.028076
0.376783	-0.025940
0.376722	-0.026550
0.376661	-0.014954
0.376600	0.003357
0.376539	-0.026550
0.376478	0.018921
0.376417	0.019531
0.376356	0.014649
0.376295	-0.022278
0.376234	-0.024109
0.376173	-0.022278
0.376112	-0.011902
0.376052	-0.046081
0.375991	-0.051880
0.375930	-0.049438
0.375869	-0.048523
0.375808	-0.033569
0.375747	-0.034180
0.375686	-0.037842
0.375625	-0.053711
0.375564	-0.054321
0.375503	-0.009155
